City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
cooma,-36.23,149.13,4.0,4.0,100,90,2.1,AU,1595427048
kaitangata,-46.28,169.85,3.89,3.89,73,72,5.81,NZ,1595426812
ushuaia,-54.8,-68.3,0.0,0.0,82,99,3.1,AR,1595427049
douentza,15.0,-2.95,36.63,36.63,28,35,3.48,ML,1595427049
cabo san lucas,22.89,-109.91,26.12,28.33,78,5,6.7,MX,1595426867
mataura,-46.19,168.86,3.89,3.89,83,92,1.34,NZ,1595427049
snezhnogorsk,69.19,33.25,28.0,28.0,34,84,5.0,RU,1595427049
atasu,48.68,71.64,24.61,24.61,45,3,5.4,KZ,1595427049
gayeri,12.65,0.49,34.72,34.72,38,0,3.16,BF,1595427050
padang,-0.95,100.35,24.0,24.0,100,90,1.5,ID,1595426965
oktyabrskiy,54.48,53.47,20.83,20.83,87,100,3.48,RU,1595427050
faya,18.39,42.45,25.5,26.0,65,40,6.7,SA,1595427050
carutapera,-1.2,-46.02,30.26,30.26,60,0,4.18,BR,1595427050
darhan,49.49,105.92,24.44,24.44,48,57,1.0,MN,1595427051
kapaa,22.08,-159.32,21.74,23.0,94,90,6.7,US,1595426772
brae,60.4,-1.35,15.0,15.0,72,20,4.6,GB,1595426868
nayagarh,20.13,85.1,26.99,26.99,84,67,1.39,IN,1595427051
tasiilaq,65.61,-37.64,6.0,6.0,87,75,4.1,GL,1595427051
butaritari,3.07,172.79,28.2,28.2,77,1,6.22,KI,1595427052
castro,-24.79,-50.01,21.82,21.82,51,57,2.55,BR,1595427052
chapais,49.78,-74.85,19.0,19.0,68,1,2.1,CA,1595427052
korla,41.76,86.15,22.22,22.22,91,100,1.34,CN,1595427052
ankazobe,-18.32,47.12,16.0,16.0,59,75,5.7,MG,1595427053
saskylakh,71.92,114.08,8.1,8.1,93,100,6.07,RU,1595427053
krasnoborsk,61.56,45.93,21.13,21.13,75,54,4.8,RU,1595427053
ghanzi,-21.57,21.78,22.2,22.2,20,0,3.44,BW,1595427053
fare,-16.7,-151.02,25.14,25.14,78,15,8.2,PF,1595427053
morros,-9.45,-46.3,28.63,28.63,42,12,5.64,BR,1595427053
kataysk,56.29,62.58,21.17,21.17,73,100,3.92,RU,1595427053
severo-kurilsk,50.68,156.12,9.76,9.76,89,79,2.54,RU,1595427054
aklavik,68.22,-135.01,5.0,5.0,93,75,2.1,CA,1595427054
smirnykh,49.75,142.83,10.76,10.76,96,93,1.44,RU,1595427054
hermanus,-34.42,19.23,17.22,17.22,81,0,0.89,ZA,1595427054
atuona,-9.8,-139.03,26.13,26.13,78,1,8.02,PF,1595427055
borogontsy,62.67,131.17,16.98,16.98,62,95,3.59,RU,1595427055
warangal,18.0,79.58,28.71,28.71,76,100,1.27,IN,1595427055
broome,42.25,-75.83,24.56,26.11,73,1,1.5,US,1595427055
hasaki,35.73,140.83,23.74,24.44,100,75,1.5,JP,1595427055
thompson,55.74,-97.86,19.0,19.0,72,20,2.1,CA,1595426636
ponta do sol,32.67,-17.1,22.75,23.33,66,0,1.32,PT,1595427056
arys,42.43,68.8,37.0,37.0,13,37,2.0,KZ,1595427056
tura,25.52,90.22,24.01,24.01,96,99,1.58,IN,1595427056
rikitea,-23.12,-134.97,19.25,19.25,58,100,6.26,PF,1595426771
kavieng,-2.57,150.8,28.16,28.16,77,3,6.2,PG,1595427056
albany,42.6,-73.97,21.41,22.78,70,83,1.33,US,1595426778
aswan,24.09,32.91,42.43,42.43,10,0,6.99,EG,1595426812
port alfred,-33.59,26.89,20.3,20.3,74,0,2.92,ZA,1595427057
georgetown,5.41,100.34,25.78,26.0,94,40,1.0,MY,1595427057
punta arenas,-53.15,-70.92,-6.0,-6.0,92,90,3.1,CL,1595426926
westport,41.14,-73.36,27.02,28.33,78,20,4.6,US,1595427057
avarua,-21.21,-159.78,24.0,24.0,94,23,5.7,CK,1595427058
neiafu,-18.65,-173.98,17.0,17.0,93,20,5.46,TO,1595427058
najran,17.49,44.13,39.0,39.0,11,75,6.2,SA,1595427058
puerto carreno,6.19,-67.49,24.0,24.0,94,75,0.3,CO,1595427058
ahipara,-35.17,173.17,12.98,12.98,71,20,6.9,NZ,1595427059
mehamn,71.04,27.85,10.24,11.0,93,75,7.7,NO,1595427059
pisco,-13.7,-76.22,15.48,16.11,87,7,2.6,PE,1595427059
adre,13.47,22.2,29.78,29.78,48,100,4.52,TD,1595427059
gazanjyk,39.24,55.52,40.71,40.71,16,17,12.42,TM,1595427007
orocue,4.79,-71.34,25.76,25.76,86,79,2.26,CO,1595427060
new norfolk,-42.78,147.06,6.35,7.78,80,98,0.45,AU,1595426811
sitka,57.05,-135.33,13.0,13.0,93,90,0.48,US,1595426807
ulaangom,49.98,92.07,19.97,19.97,66,92,1.23,MN,1595427060
qaanaaq,77.48,-69.36,7.9,7.9,55,0,3.09,GL,1595427061
busselton,-33.65,115.33,15.93,16.67,75,99,8.96,AU,1595427061
altamont,42.21,-121.74,14.27,16.11,81,1,2.16,US,1595426875
pangnirtung,66.15,-65.71,16.0,16.0,59,90,8.2,CA,1595427061
codrington,-38.27,141.97,7.24,7.24,79,50,2.1,AU,1595427062
ekuvukeni,-28.47,30.16,21.55,21.55,18,0,2.25,ZA,1595427062
iaciara,-14.1,-46.63,29.37,29.37,34,0,2.51,BR,1595427062
takestan,36.07,49.7,36.0,36.0,28,0,5.1,IR,1595427062
khatanga,71.97,102.5,12.41,12.41,62,100,4.44,RU,1595426789
dingle,11.0,122.67,25.62,25.62,88,30,2.21,PH,1595426802
