City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,37.4,37.4,86,90,10.3,AR,1595570142
balangiga,11.11,125.39,86.36,86.36,68,100,2.54,PH,1595570142
carnarvon,-24.87,113.63,78.80000000000001,78.80000000000001,31,0,4.1,AU,1595570143
punta arenas,-53.15,-70.92,39.092,39.2,86,100,7.7,CL,1595570136
ponta do sol,32.67,-17.1,66.05600000000001,69.99799999999999,78,0,1.56,PT,1595570143
aklavik,68.22,-135.01,60.8,60.8,51,20,4.6,CA,1595570143
east london,-33.02,27.91,55.400000000000006,55.400000000000006,37,0,4.1,ZA,1595570143
nikolskoye,59.7,30.79,59.0,60.008,62,20,3.0,RU,1595570144
chuy,-33.7,-53.46,63.194,63.194,95,82,3.98,UY,1595570144
longyearbyen,78.22,15.64,48.2,48.2,87,75,5.1,SJ,1595570144
saint-philippe,-21.36,55.77,64.13,69.80000000000001,52,20,14.4,RE,1595570144
himberg,48.06,16.45,64.508,66.00200000000001,82,96,1.0,AT,1595570144
puerto del rosario,28.5,-13.86,71.6,71.6,83,20,7.2,ES,1595570144
hermanus,-34.42,19.23,62.564,62.564,41,0,3.43,ZA,1595570145
aleksandro-nevskiy,53.48,40.21,62.078,62.078,63,41,2.46,RU,1595570145
mataura,-46.19,168.86,41.036,41.036,79,94,2.46,NZ,1595570145
tateyama,34.98,139.87,80.348,82.4,83,75,4.6,JP,1595570145
vaini,-21.2,-175.2,73.4,73.4,88,75,4.1,TO,1595570145
port alfred,-33.59,26.89,64.004,64.004,31,0,3.56,ZA,1595570145
cape town,-33.93,18.42,60.044,62.006,44,0,5.7,ZA,1595570146
hasaki,35.73,140.83,79.376,82.004,83,75,2.6,JP,1595570146
dalnerechensk,45.93,133.72,74.066,74.066,81,89,2.84,RU,1595570146
key west,24.56,-81.78,83.084,84.2,74,40,8.2,US,1595570076
tuktoyaktuk,69.45,-133.04,59.0,59.0,58,20,5.1,CA,1595570147
margate,51.38,1.39,63.752,64.994,85,27,0.89,GB,1595570147
kapaa,22.08,-159.32,77.162,80.6,74,40,5.7,US,1595570147
kuyanovo,55.8,54.54,59.918,59.918,96,100,2.31,RU,1595570147
rikitea,-23.12,-134.97,67.352,67.352,59,45,6.39,PF,1595570147
barrow,71.29,-156.79,39.2,39.2,93,90,3.6,US,1595570148
dikson,73.51,80.55,44.024,44.024,88,0,2.14,RU,1595570148
lieksa,63.32,30.02,55.76,55.76,80,66,2.77,FI,1595570148
souillac,-20.52,57.52,67.49600000000001,67.49600000000001,64,68,10.66,MU,1595570148
beringovskiy,63.05,179.32,54.914,54.914,62,95,3.44,RU,1595570149
constitucion,-35.33,-72.42,45.878,45.878,79,0,1.38,CL,1595570149
canatlan,24.52,-104.78,60.008,60.008,88,99,1.34,MX,1595570149
avarua,-21.21,-159.78,71.6,71.6,94,13,1.0,CK,1595570149
kupang,-10.17,123.58,87.80000000000001,87.80000000000001,31,20,9.8,ID,1595570150
san miguel,13.48,-88.18,73.13,73.13,93,75,0.67,SV,1595570150
pevek,69.7,170.31,49.586,49.586,69,60,2.56,RU,1595570150
guarapari,-20.67,-40.5,62.6,62.6,93,20,1.0,BR,1595570150
jamestown,42.1,-79.24,68.702,69.80000000000001,88,90,1.5,US,1595570150
katobu,-4.94,122.53,84.902,84.902,58,83,1.81,ID,1595570150
busselton,-33.65,115.33,62.78,62.995999999999995,50,32,4.56,AU,1595570137
arraial do cabo,-22.97,-42.03,70.646,70.646,79,6,10.04,BR,1595570151
butaritari,3.07,172.79,83.35400000000001,83.35400000000001,76,1,6.24,KI,1595570151
acapulco,16.86,-99.89,80.024,80.024,79,71,1.66,MX,1595570042
coruripe,-10.13,-36.18,72.878,72.878,83,45,5.05,BR,1595570041
hermosillo,29.07,-110.97,80.99600000000001,80.99600000000001,71,83,6.71,MX,1595570152
augusto correa,-1.02,-46.63,72.78800000000001,72.78800000000001,96,65,1.44,BR,1595570152
mutoko,-17.4,32.23,51.35,51.35,69,52,1.95,ZW,1595570152
kaitangata,-46.28,169.85,46.004000000000005,46.004000000000005,61,99,4.92,NZ,1595570152
bilma,18.69,12.92,86.19800000000001,86.19800000000001,16,0,2.39,NE,1595570152
hithadhoo,-0.6,73.08,83.44399999999999,83.44399999999999,71,56,3.84,MV,1595570153
thompson,55.74,-97.86,71.6,71.6,78,20,1.5,CA,1595570101
bluff,-46.6,168.33,47.75,47.75,70,98,11.09,NZ,1595570153
grand gaube,-20.01,57.66,71.006,71.006,49,56,5.81,MU,1595570153
luderitz,-26.65,15.16,73.4,73.4,17,0,7.7,NA,1595570153
qaanaaq,77.48,-69.36,42.836,42.836,63,0,0.98,GL,1595570153
faanui,-16.48,-151.75,77.53999999999999,77.53999999999999,79,11,9.96,PF,1595570153
muroto,33.28,134.15,80.6,80.6,88,75,7.2,JP,1595570154
ribeira grande,38.52,-28.7,68.594,68.594,72,10,2.56,PT,1595570154
roald,62.58,6.13,52.178,53.006,76,4,5.1,NO,1595570154
hobart,-42.88,147.33,52.304,53.006,62,75,2.6,AU,1595570099
dunedin,-45.87,170.5,48.452,48.992000000000004,49,68,4.02,NZ,1595570154
stornoway,58.21,-6.39,53.762,53.996,93,75,2.1,GB,1595570154
albany,42.6,-73.97,70.48400000000001,71.99600000000001,99,71,1.67,US,1595570096
comarapa,-17.9,-64.48,54.373999999999995,54.373999999999995,96,99,0.87,BO,1595570155
komsomolskiy,40.43,71.72,86.0,86.0,35,77,3.1,UZ,1595570155
ambilobe,-13.2,49.05,75.344,75.344,49,87,1.08,MG,1595570155
new norfolk,-42.78,147.06,49.55,53.006,80,100,0.23,AU,1595570155
meulaboh,4.14,96.13,84.812,84.812,66,61,2.4,ID,1595570156
atuona,-9.8,-139.03,79.52,79.52,78,34,9.07,PF,1595570156
comodoro rivadavia,-45.87,-67.5,32.0,32.0,73,0,6.2,AR,1595570015
hami,42.8,93.45,85.406,85.406,35,52,4.8,CN,1595570156
narsaq,60.92,-46.05,50.0,50.0,81,100,1.5,GL,1595570156
dickinson,29.46,-95.05,82.256,84.992,83,40,3.1,US,1595570156
ayan,56.45,138.17,57.362,57.362,74,62,6.92,RU,1595570156
laguna,38.42,-121.42,67.766,68.0,64,1,4.1,US,1595570157
saldanha,-33.01,17.94,48.2,48.2,66,0,0.5,ZA,1595570157
tautira,-17.73,-149.15,76.082,77.0,78,40,2.1,PF,1595570157
montepuez,-13.13,39.0,66.27199999999999,66.27199999999999,68,71,4.89,MZ,1595570157
alekseyevsk,57.84,108.35,83.102,83.102,29,0,1.98,RU,1595570157
sao filipe,14.9,-24.5,76.766,76.766,83,83,5.93,CV,1595570157
mar del plata,-38.0,-57.56,48.938,50.0,93,75,5.7,AR,1595570158
turayf,31.67,38.66,82.4,82.4,48,0,3.1,SA,1595570158
cherskiy,68.75,161.3,69.242,69.242,59,0,6.03,RU,1595570158
airai,-8.93,125.41,70.97,70.97,49,48,1.88,TL,1595570158
pringsewu,-5.36,104.97,83.53399999999999,83.53399999999999,75,100,2.63,ID,1595570158
lapeer,43.05,-83.32,59.306,60.998000000000005,100,1,1.7,US,1595570158
izumo,35.37,132.77,78.80000000000001,78.80000000000001,83,75,1.5,JP,1595570159
bambanglipuro,-7.95,110.28,83.606,83.606,60,98,8.64,ID,1595570159
port-gentil,-0.72,8.78,75.2,75.2,88,75,2.89,GA,1595570159
taoudenni,22.68,-3.98,92.66,92.66,12,0,2.72,ML,1595569976
esperance,-33.87,121.9,59.0,59.0,67,75,4.6,AU,1595570159
bredasdorp,-34.53,20.04,46.4,46.4,93,0,2.6,ZA,1595570159
vila franca do campo,37.72,-25.43,62.6,62.6,88,40,1.5,PT,1595570159
tainan,22.99,120.21,94.568,98.996,63,75,3.1,TW,1595570159
astoria,46.19,-123.83,57.578,59.0,87,90,2.1,US,1595570160
yulara,-25.24,130.99,71.6,71.6,23,0,2.6,AU,1595570160
castro,-24.79,-50.01,53.635999999999996,53.635999999999996,81,2,1.21,BR,1595569985
vila velha,-20.33,-40.29,62.6,62.6,93,20,1.0,BR,1595570160
deniliquin,-35.53,144.97,51.008,51.008,72,100,2.45,AU,1595570160
kodiak,57.79,-152.41,60.8,60.8,59,90,2.1,US,1595570160
kuminskiy,58.67,66.57,70.178,70.178,45,18,3.03,RU,1595570161
maraba,-5.37,-49.12,72.122,72.122,71,29,0.63,BR,1595570161
turbat,26.0,63.04,92.048,92.048,50,51,3.46,PK,1595569915
khandyga,62.67,135.6,85.19,85.19,31,1,0.92,RU,1595570161
tolaga bay,-38.37,178.3,49.730000000000004,49.730000000000004,62,24,3.05,NZ,1595570161
mormugao,15.4,73.8,78.80000000000001,78.80000000000001,94,90,1.5,IN,1595570162
ust-nera,64.57,143.2,85.1,85.1,34,93,0.96,RU,1595570162
goure,13.98,10.27,81.68,81.68,59,99,6.12,NE,1595570162
noumea,-22.28,166.46,74.44399999999999,75.2,64,90,3.6,NC,1595569975
cabo san lucas,22.89,-109.91,83.678,84.992,67,31,1.79,MX,1595569908
tursunzoda,38.51,68.23,93.2,93.2,28,20,1.0,TJ,1595570163
baruun-urt,46.68,113.28,87.76400000000001,87.76400000000001,31,93,1.06,MN,1595570163
poum,-20.23,164.02,74.084,74.084,76,1,5.26,NC,1595570163
port elizabeth,-33.92,25.57,42.8,42.8,81,0,1.0,ZA,1595570072
pachino,36.72,15.09,75.416,80.99600000000001,56,0,0.5,IT,1595570163
broome,42.25,-75.83,66.77600000000001,68.0,100,90,2.1,US,1595570164
walvis bay,-22.96,14.51,66.632,68.0,18,0,10.8,NA,1595570164
lerwick,60.15,-1.15,53.6,53.6,87,43,1.0,GB,1595570164
aswan,24.09,32.91,94.46000000000001,94.46000000000001,17,19,6.28,EG,1595570164
malacatepec,18.93,-98.3,62.006,62.006,94,79,0.75,MX,1595570164
launceston,-41.45,147.17,48.038,48.992000000000004,76,90,5.1,AU,1595570164
baykit,61.67,96.37,60.962,60.962,60,100,2.56,RU,1595570164
